id;phytoprep_id;phytoproduit_id;quantite
1;3;9;4
2;3;57;0.216
3;3;1;4
4;3;3;4
5;3;14;4
6;3;2;4
7;3;4;4
8;2;13;2
9;2;66;1
10;2;1;0.5
11;2;62;1
12;2;3;0.5
13;2;53;91
14;2;14;2
15;2;2;0.5
16;2;10;4
17;2;4;0.5
18;1;66;1
19;1;8;2
20;1;62;1
21;1;53;91
22;1;21;1
23;1;5;2
24;1;20;2
25;1;10;2
26;1;4;1
32;12;69;10
33;12;53;150
34;12;23;5
35;12;22;5
36;12;2;5
37;12;11;5
38;7;1;1
39;7;59;28
40;7;6;2
41;7;8;2
42;7;3;1
43;7;53;120
44;7;58;60
45;7;12;2
46;7;15;2
47;7;14;2
48;7;2;1
49;7;11;2
50;7;10;4
51;7;4;1
52;18;50;0.3
53;18;57;2
54;18;71;2
55;18;49;0.3
56;18;76;0.6
57;18;48;0.3
58;15;1;2
59;15;25;2
60;15;3;2
61;15;21;4
62;15;2;2
63;15;26;2
64;15;27;2
65;14;8;5
66;14;24;5
67;14;12;5
68;14;60;30
69;14;61;5
70;19;47;200
71;19;45;200
72;19;33;200
73;19;34;200
74;19;35;200
75;9;32;200
76;9;75;200
77;9;36;200
78;9;34;200
79;9;38;200
80;4;3;1
81;4;52;200
82;4;61;3
83;17;69;5
84;17;3;1
85;17;53;26
86;17;11;1
87;17;10;1
88;17;4;1
89;16;59;1
90;16;53;5
91;16;10;1
92;5;55;56
93;5;64;1
94;5;11;1
95;5;10;1
96;5;30;0.07
97;10;9;4
98;10;1;1
99;10;8;4
100;10;16;4
101;10;3;1
102;10;53;45
103;10;15;4
104;10;2;1
105;10;4;1
106;8;28;0.0666667
107;8;51;30
108;8;56;300
109;6;37;93
110;6;6;0.1
111;6;62;1
112;6;15;0.5
113;6;19;0.25
114;6;65;1
115;6;4;0.15
116;8;29;0.07
117;20;41;100
118;20;42;100
119;20;43;100
120;20;39;100
121;20;40;100
123;1;67;1
124;2;67;1
126;3;67;1
131;20;67;1
132;7;67;1
134;12;67;1
136;14;67;1
138;4;67;1
140;13;67;1
142;17;67;1
143;16;67;1
144;5;67;1
145;10;67;1
146;8;67;1
147;6;67;1
148;15;67;1
149;19;67;1
