"id","name","duree","lieu","icone"
"1","Phytothérapie en élevage - initiation","2 jours","en salle","phyto_ini.svg"
"2","Phytothérapie en élevage - perfectionnement","1 jour","en salle","phyto_perf.svg"
"3","Ostéopathie des animaux d’élevage - initiation","2 jours","en ferme","osteo.svg"
"4","Faire face à l’urgence en élevage de petits ruminants","2 jours","en ferme","urgences.svg"
"5","Éleveur infirmier - petits-ruminants","1 jour","en ferme","elev_inf.svg"
"6","Éleveur infirmier - bovins","1 jour","en ferme","elev_inf.svg"
"7","Gestion raisonnée du parasitisme - initiation","1 jour","en salle","par_ini.svg"
"8","Gestion raisonnée du parasitisme - perfectionnement","1 jour","en ferme","par_perf.svg"
"9","Alimentation minérale et vitaminique","1 jour","en salle et/ou en ferme","mineraux.svg"
"10","Santé de la mamelle des petits ruminants","1 jour","en salle et en ferme","mam_pr.svg"
